Date,TSA,PSI
2009-10-10,0.0,0.0
2009-10-11,0.000919794,0.0009000901
2009-10-12,0.0,0.0
2009-10-13,0.0,0.0
2009-10-14,0.0,0.0
2009-10-15,0.00059692754,0.00030003
2009-10-16,0.0,0.0
2009-10-17,0.0014716705,0.00060006
2009-10-18,0.0017907826,0.00120012
2009-10-19,0.0011938551,0.00060006
2009-10-20,0.0017907826,0.00060006
2009-10-21,0.0007959033,0.0009000901
2009-10-22,0.00039795166,0.00030003
2009-10-23,0.00459897,0.00420042
2009-10-24,0.014716704,0.01620162
2009-10-25,0.03495217,0.039303932
2009-10-26,0.04415011,0.04560456
2009-10-27,0.06916851,0.05850585
2009-10-28,0.08296542,0.05160516
2009-10-29,0.10485651,0.04020402
2009-10-30,0.0879323,0.014401441
2009-10-31,0.0,0.0
2009-11-01,0.0,0.0
2009-11-02,0.0,0.0
2009-11-03,0.0,0.0
2009-11-04,0.0,0.0
2009-11-05,0.0011037529,0.0009000901
2009-11-06,0.0023914643,0.00240024
2009-11-07,0.00073583523,0.00060006
2009-11-08,0.0,0.0
2009-11-09,0.006438558,0.00420042
2009-11-10,0.013428993,0.00630063
2009-11-11,0.00772627,0.0018001802
2009-11-12,0.00059692754,0.00030003
2009-11-13,0.0015918066,0.00060006
2009-11-14,0.0059692753,0.0009000901
2009-11-15,0.0033825894,0.00270027
2009-11-16,0.0043774685,0.0033003301
2009-11-17,0.0021887342,0.0015001501
2009-11-18,0.00459897,0.0015001501
2009-11-19,0.021891098,0.01650165
2009-11-20,0.014923189,0.012301231
2009-11-21,0.008094187,0.0078007802
2009-11-22,0.0059692753,0.00510051
2009-11-23,0.004974396,0.00420042
2009-11-24,0.0007959033,0.00060006
2009-11-25,0.0,0.0
2009-11-26,0.0,0.0
2009-11-27,0.0,0.0
2009-11-28,0.0,0.0
2009-11-29,0.0,0.0
2009-11-30,0.0009948793,0.00030003
2009-12-01,0.0,0.0
2009-12-02,0.0,0.0
2009-12-03,0.0,0.0
2009-12-04,0.0,0.0
2009-12-05,0.0,0.0
2009-12-06,0.00039795166,0.00030003
2009-12-07,0.0,0.0
2009-12-08,0.0007959033,0.00030003
2009-12-09,0.008555962,0.0009000901
2009-12-10,0.0060706404,0.0015001501
2009-12-11,0.0049668876,0.00210021
2009-12-12,0.005702723,0.0039003901
2009-12-13,0.005886682,0.00510051
2009-12-14,0.025018396,0.02190219
2009-12-15,0.05665931,0.051305134
2009-12-16,0.05573952,0.04950495
2009-12-17,0.12754352,0.09270927
2009-12-18,0.11644593,0.08040804
2009-12-19,0.10007358,0.04740474
2009-12-20,0.11239883,0.03420342
2009-12-21,0.09896983,0.027602762
2009-12-22,0.031640913,0.01650165
2009-12-23,0.018763797,0.00510051
2009-12-24,0.0022075057,0.0018001802
2009-12-25,0.0023877101,0.0018001802
2009-12-26,0.0047754203,0.00210021
2009-12-27,0.012141281,0.00750075
2009-12-28,0.0150846215,0.01170117
2009-12-29,0.020419426,0.01860186
2009-12-30,0.027458666,0.024002401
2009-12-31,0.036239885,0.03390339
2010-01-01,0.043598235,0.035703573
2010-01-02,0.06567329,0.045004502
2010-01-03,0.06107432,0.02970297
2010-01-04,0.030443303,0.00510051
2010-01-05,0.03090508,0.0036003604
2010-01-06,0.0,0.0
